"03-25-2014||16:04:48 :> Get version"
"12-13-2014||00:10:10 :> update client.exe from version 0 to 5"
"12-13-2014||00:10:11 :> update main.exe from version 0 to 4"
"12-13-2014||00:10:11 :> update server.exe from version 0 to 3"
"12-13-2014||00:10:11 :> update chat.bmp from version 0 to 1"
"12-13-2014||00:10:11 :> update chatlittle.bmp from version 0 to 1"
"12-13-2014||00:10:12 :> update chatbg.bmp from version 0 to 1"
"12-13-2014||00:10:12 :> update create.bmp from version 0 to 1"
"12-13-2014||00:10:12 :> update name.bmp from version 0 to 1"
"12-13-2014||00:10:12 :> update ready.bmp from version 0 to 1"
"12-13-2014||00:10:13 :> update screen.bmp from version 0 to 1"
"12-13-2014||00:10:14 :> update scroll.bmp from version 0 to 1"
"12-13-2014||00:10:14 :> update start.bmp from version 0 to 1"
"12-13-2014||00:10:15 :> update table.bmp from version 0 to 1"
"12-13-2014||00:10:15 :> update close.bmp from version 0 to 1"
"12-13-2014||00:10:15 :> update games.bmp from version 0 to 1"
"12-13-2014||00:10:16 :> update logo.bmp from version 0 to 1"
"12-13-2014||00:10:16 :> update back.bmp from version 0 to 1"
"12-13-2014||00:10:16 :> update config.bmp from version 0 to 1"
"12-13-2014||00:10:16 :> update hsc.bmp from version 0 to 1"
"12-13-2014||00:10:17 :> update left.bmp from version 0 to 1"
"12-13-2014||00:10:17 :> update right.bmp from version 0 to 1"
"12-13-2014||00:10:17 :> update player.bmp from version 0 to 1"
"12-13-2014||00:10:18 :> update body.b3d from version 0 to 1"
"12-13-2014||00:10:18 :> update body.png from version 0 to 1"
"12-13-2014||00:10:19 :> update gras.png from version 0 to 1"
"12-13-2014||00:10:20 :> update ground.b3d from version 0 to 1"
"12-13-2014||00:10:20 :> update item1.b3d from version 0 to 1"
"12-13-2014||00:10:20 :> update sky.b3d from version 0 to 1"
"12-13-2014||00:10:20 :> update finish.b3d from version 0 to 1"
"12-13-2014||00:10:20 :> update finish.png from version 0 to 1"
"12-13-2014||00:10:21 :> update snow_sprite.png from version 0 to 1"
"12-13-2014||00:10:21 :> update stein.png from version 0 to 1"
"12-13-2014||00:10:22 :> update sky_box.png from version 0 to 1"
"12-13-2014||00:10:23 :> update speed.png from version 0 to 1"
"12-13-2014||00:10:23 :> update speed2.png from version 0 to 1"
"12-13-2014||00:10:23 :> update stern.png from version 0 to 1"
"12-13-2014||00:10:23 :> update waiting.png from version 0 to 1"
"12-13-2014||00:10:23 :> update tile1.b3d from version 0 to 1"
"12-13-2014||00:10:24 :> update tile2.b3d from version 0 to 1"
"12-13-2014||00:10:24 :> update tile3.b3d from version 0 to 1"
"12-13-2014||00:10:24 :> update tile4.b3d from version 0 to 1"
"12-13-2014||00:10:25 :> update tile5.b3d from version 0 to 1"
"12-13-2014||00:10:25 :> update tile6.b3d from version 0 to 1"
"12-13-2014||00:10:25 :> update tile7.b3d from version 0 to 1"
"12-13-2014||00:10:26 :> update tile8.b3d from version 0 to 2"
"12-13-2014||00:10:26 :> update tile9.b3d from version 0 to 1"
"12-13-2014||00:10:26 :> update tile10.b3d from version 0 to 1"
"12-13-2014||00:10:27 :> update tile11.b3d from version 0 to 1"
"12-13-2014||00:10:27 :> update tile12.b3d from version 0 to 1"
"12-13-2014||00:10:27 :> update tile13.b3d from version 0 to 1"
"12-13-2014||00:10:28 :> update tile14.b3d from version 0 to 1"
"12-13-2014||00:10:28 :> update tile15.b3d from version 0 to 1"
"12-13-2014||00:10:29 :> update tile16.b3d from version 0 to 1"
"12-13-2014||00:10:29 :> update tile17.b3d from version 0 to 1"
"12-13-2014||00:10:29 :> update tile18.b3d from version 0 to 1"
"12-13-2014||00:10:30 :> update tile19.b3d from version 0 to 1"
"12-13-2014||00:10:30 :> update tile20.b3d from version 0 to 1"
"12-13-2014||00:10:30 :> update tile21.b3d from version 0 to 1"
"12-13-2014||00:10:31 :> update tile22.b3d from version 0 to 1"
"12-13-2014||00:10:31 :> update tile23.b3d from version 0 to 1"
"12-13-2014||00:10:32 :> update tile24.b3d from version 0 to 1"
"12-13-2014||00:10:32 :> update tile25.b3d from version 0 to 1"
"12-13-2014||00:10:32 :> update configIcon.bmp from version 0 to 1"
"12-13-2014||00:10:33 :> update tik1.bmp from version 0 to 1"
"12-13-2014||00:10:33 :> update tik2.bmp from version 0 to 1"
"12-13-2014||00:10:33 :> update libOpenB3D.so from version 0 to 1"
"12-13-2014||00:10:35 :> Finish"
"12-13-2014||00:10:41 :> Get version"
"12-13-2014||00:10:43 :> Check for updates..."
"12-13-2014||00:10:43 :> Found 0 updates!"
"12-13-2014||00:10:43 :> Finish"
"12-15-2017||20:25:38 :> Get version"
"12-15-2017||20:25:38 :> Check for updates..."
"12-15-2017||20:25:38 :> Found 70 updates!"
"12-15-2017||20:25:38 :> update patcherupdater.exe from version 0 to 1"
"12-15-2017||20:25:39 :> update license.txt from version 0 to 1"
"12-15-2017||20:25:39 :> update SnowManRun.exe from version 3 to 3"
"12-15-2017||20:25:40 :> update openb3d.dll from version 0 to 1"
"12-15-2017||20:25:43 :> update client.exe from version 0 to 6"
"12-15-2017||20:25:43 :> update main.exe from version 0 to 4"
"12-15-2017||20:25:44 :> update server.exe from version 0 to 3"
"12-15-2017||20:25:44 :> update chat.bmp from version 0 to 1"
"12-15-2017||20:25:45 :> update chatlittle.bmp from version 0 to 1"
"12-15-2017||20:25:45 :> update chatbg.bmp from version 0 to 1"
"12-15-2017||20:25:46 :> update create.bmp from version 0 to 1"
"12-15-2017||20:25:46 :> update name.bmp from version 0 to 1"
"12-15-2017||20:25:47 :> update ready.bmp from version 0 to 1"
"12-15-2017||20:25:47 :> update screen.bmp from version 0 to 1"
"12-15-2017||20:25:50 :> update scroll.bmp from version 0 to 1"
"12-15-2017||20:25:50 :> update start.bmp from version 0 to 1"
"12-15-2017||20:25:51 :> update table.bmp from version 0 to 1"
"12-15-2017||20:25:51 :> update close.bmp from version 0 to 1"
"12-15-2017||20:25:52 :> update games.bmp from version 0 to 1"
"12-15-2017||20:25:52 :> update logo.bmp from version 0 to 1"
"12-15-2017||20:25:53 :> update back.bmp from version 0 to 1"
"12-15-2017||20:25:53 :> update config.bmp from version 0 to 1"
"12-15-2017||20:25:54 :> update hsc.bmp from version 0 to 1"
"12-15-2017||20:25:55 :> update left.bmp from version 0 to 1"
"12-15-2017||20:25:55 :> update right.bmp from version 0 to 1"
"12-15-2017||20:25:56 :> update player.bmp from version 0 to 1"
"12-15-2017||20:25:56 :> update body.b3d from version 0 to 1"
"12-15-2017||20:25:57 :> update body.png from version 0 to 1"
"12-15-2017||20:26:00 :> update gras.png from version 0 to 1"
"12-15-2017||20:26:01 :> update ground.b3d from version 0 to 1"
"12-15-2017||20:26:02 :> update item1.b3d from version 0 to 1"
"12-15-2017||20:26:02 :> update sky.b3d from version 0 to 1"
"12-15-2017||20:26:02 :> update finish.b3d from version 0 to 1"
"12-15-2017||20:26:03 :> update finish.png from version 0 to 1"
"12-15-2017||20:26:04 :> update snow_sprite.png from version 0 to 1"
"12-15-2017||20:26:04 :> update stein.png from version 0 to 1"
"12-15-2017||20:26:05 :> update sky_box.png from version 0 to 1"
"12-15-2017||20:26:08 :> update speed.png from version 0 to 1"
"12-15-2017||20:26:08 :> update speed2.png from version 0 to 1"
"12-15-2017||20:26:08 :> update stern.png from version 0 to 1"
"12-15-2017||20:26:09 :> update waiting.png from version 0 to 1"
"12-15-2017||20:26:09 :> update tile1.b3d from version 0 to 1"
"12-15-2017||20:26:09 :> update tile2.b3d from version 0 to 1"
"12-15-2017||20:26:10 :> update tile3.b3d from version 0 to 1"
"12-15-2017||20:26:10 :> update tile4.b3d from version 0 to 1"
"12-15-2017||20:26:11 :> update tile5.b3d from version 0 to 1"
"12-15-2017||20:26:11 :> update tile6.b3d from version 0 to 1"
"12-15-2017||20:26:11 :> update tile7.b3d from version 0 to 1"
"12-15-2017||20:26:12 :> update tile8.b3d from version 0 to 2"
"12-15-2017||20:26:12 :> update tile9.b3d from version 0 to 1"
"12-15-2017||20:26:13 :> update tile10.b3d from version 0 to 1"
"12-15-2017||20:26:13 :> update tile11.b3d from version 0 to 1"
"12-15-2017||20:26:14 :> update tile12.b3d from version 0 to 1"
"12-15-2017||20:26:14 :> update tile13.b3d from version 0 to 1"
"12-15-2017||20:26:14 :> update tile14.b3d from version 0 to 1"
"12-15-2017||20:26:15 :> update tile15.b3d from version 0 to 1"
"12-15-2017||20:26:15 :> update tile16.b3d from version 0 to 1"
"12-15-2017||20:26:15 :> update tile17.b3d from version 0 to 1"
"12-15-2017||20:26:16 :> update tile18.b3d from version 0 to 1"
"12-15-2017||20:26:16 :> update tile19.b3d from version 0 to 1"
"12-15-2017||20:26:17 :> update tile20.b3d from version 0 to 1"
"12-15-2017||20:26:17 :> update tile21.b3d from version 0 to 1"
"12-15-2017||20:26:18 :> update tile22.b3d from version 0 to 1"
"12-15-2017||20:26:18 :> update tile23.b3d from version 0 to 1"
"12-15-2017||20:26:18 :> update tile24.b3d from version 0 to 1"
"12-15-2017||20:26:19 :> update tile25.b3d from version 0 to 1"
"12-15-2017||20:26:19 :> update configIcon.bmp from version 0 to 1"
"12-15-2017||20:26:20 :> update tik1.bmp from version 0 to 1"
"12-15-2017||20:26:20 :> update tik2.bmp from version 0 to 1"
"12-15-2017||20:26:20 :> update libOpenB3D.so from version 0 to 1"
"12-15-2017||20:26:22 :> Finish"
"12-15-2017||20:26:50 :> Get version"
"12-15-2017||20:26:50 :> Check for updates..."
"12-15-2017||20:26:50 :> Found 0 updates!"
"12-15-2017||20:26:50 :> Finish"
"12-15-2017||20:27:08 :> Get version"
"12-15-2017||20:27:08 :> Check for updates..."
"12-15-2017||20:27:08 :> Found 0 updates!"
"12-15-2017||20:27:08 :> Finish"
"12-15-2017||20:28:12 :> Get version"
"12-15-2017||20:28:12 :> Check for updates..."
"12-15-2017||20:28:12 :> Found 0 updates!"
"12-15-2017||20:28:12 :> Finish"
"12-15-2017||20:28:28 :> Get version"
"12-15-2017||20:28:28 :> Check for updates..."
"12-15-2017||20:28:28 :> Found 0 updates!"
"12-15-2017||20:28:28 :> Finish"
"12-15-2017||20:28:52 :> Get version"
"12-15-2017||20:28:52 :> Check for updates..."
"12-15-2017||20:28:52 :> Found 0 updates!"
"12-15-2017||20:28:52 :> Finish"
"12-15-2017||20:29:31 :> Get version"
"12-15-2017||20:29:31 :> Check for updates..."
"12-15-2017||20:29:31 :> Found 0 updates!"
"12-15-2017||20:29:31 :> Finish"
"12-15-2017||20:30:11 :> Get version"
"12-15-2017||20:30:11 :> Check for updates..."
"12-15-2017||20:30:11 :> Found 0 updates!"
"12-15-2017||20:30:11 :> Finish"
"12-15-2017||20:34:09 :> Get version"
"12-15-2017||20:34:09 :> Check for updates..."
"12-15-2017||20:34:09 :> Found 0 updates!"
"12-15-2017||20:34:09 :> Finish"
"12-15-2017||20:37:06 :> Get version"
"12-15-2017||20:37:07 :> Check for updates..."
"12-15-2017||20:37:07 :> Found 0 updates!"
"12-15-2017||20:37:07 :> Finish"
"12-15-2017||20:40:01 :> Get version"
"12-15-2017||20:40:02 :> Check for updates..."
"12-15-2017||20:40:02 :> Found 0 updates!"
"12-15-2017||20:40:02 :> Finish"
"12-15-2017||20:43:02 :> Get version"
"12-15-2017||20:43:03 :> Check for updates..."
"12-15-2017||20:43:03 :> Found 0 updates!"
"12-15-2017||20:43:03 :> Finish"
"12-15-2017||21:23:31 :> Get version"
"12-15-2017||21:23:31 :> Check for updates..."
"12-15-2017||21:23:31 :> Found 0 updates!"
"12-15-2017||21:23:31 :> Finish"
"12-15-2017||21:25:50 :> Get version"
"12-15-2017||21:25:50 :> Check for updates..."
"12-15-2017||21:25:50 :> Found 0 updates!"
"12-15-2017||21:25:50 :> Finish"
"12-15-2017||21:26:15 :> Get version"
"12-15-2017||21:26:15 :> Check for updates..."
"12-15-2017||21:26:15 :> Found 0 updates!"
"12-15-2017||21:26:15 :> Finish"
